generic_name,dosage_form,strength,therapeutic_category,who_list_section,notes,unit,reorder_level
lidocaine + epinephrine (adrenaline),Injection,1%,WHO EML 2023,Core,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",vial,20
lidocaine + epinephrine (adrenaline),Injection,2% (hydrochloride or sulfate) + epinephrine,WHO EML 2023,Core,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",vial,20
lidocaine + epinephrine (adrenaline),Injection,30 mg/mL (hydrochloride) in 1 mL ampoule,WHO EML 2023,Complementary,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",vial,20
ephedrine,Injection,1 mg (sulfate) in 1 mL ampoule,WHO EML 2023,Complementary,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",vial,20
ephedrine,Injection,1 mg/mL,WHO EML 2023,Complementary,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",vial,20
ephedrine,Oral liquid,2 mg/mL,WHO EML 2023,Complementary,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",bottle,20
ephedrine,Tablet,7.5 mg,WHO EML 2023,Complementary,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",strip,20
ephedrine,Tablet,15 mg,WHO EML 2023,Complementary,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",strip,20
ephedrine,Injection,10 mg (sulfate or hydrochloride) in 1 mL ampoule,WHO EML 2023,Complementary,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",vial,20
ephedrine,Suppository,50 mg to 150 mg,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
acetylsalicylic acid,Tablet,100 mg to 500 mg,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Oral liquid,"100 mg/5 mL , 200 mg/5 mL",WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
acetylsalicylic acid,Tablet,200 mg,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,400 mg,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,600 mg,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Oral liquid,"120 mg/5 mL or 125 mg/5 mL**, 250 mg/5 mL",WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
acetylsalicylic acid,Suppository,"100 mg, 250 mg",WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
acetylsalicylic acid,Tablet,"250 mg, 325 mg, 500 mg",WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,"100 mg, 250 mg",WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,30 mg (phosphate),WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Transdermal patch,12 micrograms/hr,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
acetylsalicylic acid,Transdermal patch,25 micrograms/hr,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
acetylsalicylic acid,Granules,20 mg to 200 mg,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,packet,20
acetylsalicylic acid,Injection,10 mg (morphine hydrochloride or morphine sulfate) in,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
acetylsalicylic acid,Therapeutic,Oral liquid: 10 mg/5 mL (morphine hydrochloride or morphine,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
acetylsalicylic acid,Tablet,10 mg to 200mg (morphine hydrochloride or,WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,10 mg (morphine sulfate),WHO EML 2023,Core,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,5 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,10 mg (hydrochloride),WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Oral liquid,5 mg/5 mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
acetylsalicylic acid,Oral liquid,10 mg/5 mL (hydrochloride),WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,bottle,20
acetylsalicylic acid,Concentrate,5 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
acetylsalicylic acid,Concentrate,10 mg/mL (hydrochloride),WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,unit,20
acetylsalicylic acid,Tablet,10 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,25 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Tablet,75 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
acetylsalicylic acid,Injection,50 mg/mL,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,vial,20
acetylsalicylic acid,Tablet,50 mg,WHO EML 2023,Complementary,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,strip,20
